x, y, z, yaw
53.0251,-30.5365,-15.7169,-1.99066
53.0249,-30.538,-15.717,-1.99066
53.0223,-30.5432,-15.717,-1.99105
53.0186,-30.5521,-15.717,-1.99162
53.014,-30.5633,-15.717,-1.99239
53.0102,-30.5737,-15.717,-1.99316
52.914,-30.7972,-15.717,-2.00677
52.8922,-30.8478,-15.717,-2.00907
52.8725,-30.8911,-15.717,-2.01118
52.8492,-30.9419,-15.717,-2.01348
52.8223,-31.0016,-15.717,-2.01578
52.7956,-31.0583,-15.717,-2.01789
52.7734,-31.1054,-15.717,-2.01943
52.7379,-31.1801,-15.717,-2.02134
52.713,-31.2324,-15.717,-2.02269
52.6783,-31.3063,-15.717,-2.02422
52.6439,-31.3774,-15.717,-2.02575
52.6085,-31.4506,-15.717,-2.0271
52.5713,-31.5284,-15.717,-2.02825
52.5325,-31.6076,-15.717,-2.02959
52.1491,-32.3812,-15.717,-2.03707
52.1052,-32.4695,-15.717,-2.03764
52.0569,-32.5661,-15.717,-2.03802
52.0131,-32.6529,-15.717,-2.0386
51.9737,-32.7315,-15.717,-2.03918
51.93,-32.8169,-15.717,-2.03956
51.8879,-32.9007,-15.717,-2.03994
51.8467,-32.9823,-15.717,-2.04033
51.8073,-33.0609,-15.717,-2.04071
51.7679,-33.138,-15.717,-2.04109
51.7303,-33.2122,-15.717,-2.04148
51.6936,-33.2841,-15.717,-2.04186
51.6577,-33.3552,-15.7171,-2.04205
51.3534,-33.9528,-15.7171,-2.04493
51.3184,-34.0217,-15.7171,-2.04512
51.2828,-34.0899,-15.7171,-2.0455
51.2477,-34.1602,-15.7171,-2.04589
51.2111,-34.2306,-15.7171,-2.04608
51.1744,-34.3025,-15.7171,-2.04646
51.1377,-34.3744,-15.7171,-2.04684
51.0967,-34.4531,-15.7171,-2.04704
51.0635,-34.519,-15.717,-2.04742
51.0225,-34.5977,-15.717,-2.04761
50.9886,-34.6629,-15.717,-2.048
50.9519,-34.7348,-15.717,-2.04819
50.9144,-34.8074,-15.717,-2.04857
50.8769,-34.8801,-15.7171,-2.04895
50.5684,-35.4765,-15.7171,-2.05145
50.5292,-35.5522,-15.7171,-2.05183
50.4892,-35.6286,-15.7171,-2.05202
50.4535,-35.6968,-15.7171,-2.05221
